name,size,price,url
San Gregorio El Vergal Tempranillo,750ml,12.99,https://www.totalwine.com/wine/deals/red-wine/tempranillo/san-gregorio-el-vergal-tempranillo/p/213628750?s=304&igrules=true
Casalino Chianti Classico Riserva,750ml,16.99,https://www.totalwine.com/wine/red-wine/sangiovese/casalino-chianti-classico-riserva/p/19331750?s=304&igrules=true
Chateau Lamarque Haut Medoc,750ml,29.99,https://www.totalwine.com/wine/red-wine/bordeaux-blend/chateau-lamarque-haut-medoc/p/1000119750?s=304&igrules=true
Cruz Alta Cabernet Sauvignon Reserve,750ml,13.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/cruz-alta-cabernet-sauvignon-reserve/p/1988750?s=304&igrules=true
Bougrier Rose d'Anjou,750ml,12.99,https://www.totalwine.com/wine/rose-blush-wine/rose-blend/bougrier-rose-danjou/p/15384750?s=304&igrules=true
Castello Meleto Borgaio Rosso di Toscana,750ml,13.99,https://www.totalwine.com/wine/red-wine/red-blend/castello-meleto-borgaio-rosso-di-toscana/p/234852750?s=304&igrules=true
Eccentric Malbec,750ml,10.99,https://www.totalwine.com/wine/new-arrivals/red-wine/malbec/eccentric-malbec/p/213644750?s=304&igrules=true
Cloud Break Chardonnay Reserve California,750ml,12.99,https://www.totalwine.com/wine/white-wine/chardonnay/cloud-break-chardonnay-reserve-california/p/235812750?s=304&igrules=true
Barba Colle Morino Montepulciano d'Abruzzo,750ml,12.99,https://www.totalwine.com/wine/red-wine/montepulciano/barba-colle-morino-montepulciano-dabruzzo/p/114435750?s=304&igrules=true
Mauro Sebaste Nebbiolo d'Alba Parigi,750ml,27.99,https://www.totalwine.com/wine/red-wine/nebbiolo/mauro-sebaste-nebbiolo-dalba-parigi/p/108731750?s=304&igrules=true
Courtney Benham Cabernet Terroir Selection,750ml,17.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/courtney-benham-cabernet-terroir-selection/p/235571750?s=304&igrules=true
ReaLuna Prosecco,750ml,17.99,https://www.totalwine.com/wine/deals/champagne-sparkling-wine/prosecco/extra-dry/realuna-prosecco/p/172975750?s=304&igrules=true
Montet Sauvignon Blanc,750ml,15.99,https://www.totalwine.com/wine/deals/white-wine/sauvignon-blanc/montet-sauvignon-blanc/p/91610750?s=304&igrules=true
Amici Sauvignon Blanc,750ml,25.99,https://www.totalwine.com/wine/deals/gift-center/white-wine/sauvignon-blanc/amici-sauvignon-blanc/p/20094750?s=304&igrules=true
Macchia Zinfandel Mischievous Lodi,750ml,28.99,https://www.totalwine.com/wine/deals/red-wine/zinfandel/macchia-zinfandel-mischievous-lodi/p/105056750?s=304&igrules=true
Blue Canyon Estate Grown Pinot Noir Monterey,750ml,16.99,https://www.totalwine.com/wine/deals/red-wine/pinot-noir/blue-canyon-estate-grown-pinot-noir-monterey/p/185635750?s=304&igrules=true
River Road Pinot Noir,750ml,19.99,https://www.totalwine.com/wine/red-wine/pinot-noir/river-road-pinot-noir/p/109397750?s=304&igrules=true
Vecchia Cantina Chianti Riserva DOCG,750ml,14.99,https://www.totalwine.com/wine/deals/red-wine/sangiovese/vecchia-cantina-chianti-riserva-docg/p/219510750?s=304&igrules=true
Forever Vineyards Pinot Noir,750ml,12.99,https://www.totalwine.com/wine/red-wine/pinot-noir/forever-vineyards-pinot-noir/p/111728750?s=304&igrules=true
Vistamar Cabernet Syrah Gran Reserva,750ml,19.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/vistamar-cabernet-syrah-gran-reserva/p/112473750?s=304&igrules=true
River Road Chardonnay Sonoma,750ml,18.99,https://www.totalwine.com/wine/deals/white-wine/chardonnay/river-road-chardonnay-sonoma/p/92742750?s=304&igrules=true
Spier Sauvignon Blanc,750ml,10.99,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/spier-sauvignon-blanc/p/96990750?s=304&igrules=true
Carmen Cabernet Sauvignon Delanz,750ml,29.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/carmen-cabernet-sauvignon-delanz/p/233771750?s=304&igrules=true
Conte Priola Pinot Grigio Gold Release,750ml,10.99,https://www.totalwine.com/wine/white-wine/pinot-grigio-pinot-gris/conte-priola-pinot-grigio-gold-release/p/130211750?s=304&igrules=true
Chateau Gloria St Julien,750ml,79.99,https://www.totalwine.com/wine/deals/red-wine/bordeaux-blend/chateau-gloria-st-julien/p/26018750?s=304&igrules=true
Teeter-Totter Cabernet Sauvignon,750ml,79.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/teeter-totter-cabernet-sauvignon/p/192072750?s=304&igrules=true
Sobon Estate Zinfandel Fiddletown,750ml,24.99,https://www.totalwine.com/wine/deals/red-wine/zinfandel/sobon-estate-zinfandel-fiddletown/p/93198750?s=304&igrules=true
Blankiet Prince of Hearts Red Napa,750ml,99.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/blankiet-prince-of-hearts-red-napa/p/194648750?s=304&igrules=true
Edict Pinot Noir Anderson Valley,750ml,50.99,https://www.totalwine.com/wine/deals/red-wine/pinot-noir/edict-pinot-noir-anderson-valley/p/235188750?s=304&igrules=true
King Maui Cellar Reserve Marlborough Sauvignon Blanc,750ml,16.99,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/king-maui-cellar-reserve-marlborough-sauvignon-blanc/p/237135750?s=304&igrules=true
Tenuta di Renieri Chianti Classico,750ml,21.99,https://www.totalwine.com/wine/deals/red-wine/sangiovese/tenuta-di-renieri-chianti-classico/p/113709750?s=304&igrules=true
Latimer Ranch Chardonnay Russian River Valley,750ml,29.99,https://www.totalwine.com/wine/deals/white-wine/chardonnay/latimer-ranch-chardonnay-russian-river-valley/p/223988750?s=304&igrules=true
Luc Pirlet Chardonnay Unoaked,750ml,12.99,https://www.totalwine.com/wine/white-wine/chardonnay/luc-pirlet-chardonnay-unoaked/p/108845750?s=304&igrules=true
Cruz Alta Malbec Reserve,750ml,13.99,https://www.totalwine.com/wine/deals/red-wine/malbec/cruz-alta-malbec-reserve/p/1989750?s=304&igrules=true
Angeline Pinot Noir Russian River Valley,750ml,19.99,https://www.totalwine.com/wine/red-wine/pinot-noir/angeline-pinot-noir-russian-river-valley/p/223961750?s=304&igrules=true
Amici Chardonnay Sonoma Coast,750ml,29.99,https://www.totalwine.com/wine/deals/white-wine/chardonnay/amici-chardonnay-sonoma-coast/p/143594750?s=304&igrules=true
Tensley Syrah Santa Barbara,750ml,29.99,https://www.totalwine.com/wine/deals/red-wine/syrah-shiraz/tensley-syrah-santa-barbara/p/110382750?s=304&igrules=true
Clos St Michel Chateauneuf-du-Pape Reserve,750ml,51.99,https://www.totalwine.com/wine/deals/red-wine/rhone-blend/clos-st-michel-chateauneuf-du-pape-reserve/p/115165750?s=304&igrules=true
Bougrier Famille Sauvignon Blanc Vin de France,750ml,13.99,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/bougrier-famille-sauvignon-blanc-vin-de-france/p/243188750?s=304&igrules=true
Mato Bay Reserve Marlborough Sauvignon Blanc,750ml,12.99,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/mato-bay-reserve-marlborough-sauvignon-blanc/p/233824750?s=304&igrules=true
Belvino Pinot Grigio,750ml,8.49,https://www.totalwine.com/wine/deals/white-wine/pinot-grigio-pinot-gris/belvino-pinot-grigio/p/140315750?s=304&igrules=true
La Delizia Pinot Grigio,750ml,9.99,https://www.totalwine.com/wine/white-wine/pinot-grigio-pinot-gris/la-delizia-pinot-grigio/p/36585750?s=304&igrules=true
Bellini Rosso di Toscana IGT,750ml,11.49,https://www.totalwine.com/wine/red-wine/sangiovese/bellini-rosso-di-toscana-igt/p/130035750?s=304&igrules=true
Angelica Zapata Malbec,750ml,49.99,https://www.totalwine.com/wine/red-wine/malbec/angelica-zapata-malbec/p/239117750?s=304&igrules=true
Titus Cabernet Sauvignon Napa Valley,750ml,59.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/titus-cabernet-sauvignon-napa-valley/p/35102750?s=304&igrules=true
Domaine Chenevieres Chablis,750ml,29.99,https://www.totalwine.com/wine/deals/white-wine/chardonnay/domaine-chenevieres-chablis/p/130330750?s=304&igrules=true
Renieri Brunello di Montalcino Riserva,750ml,99.99,https://www.totalwine.com/wine/deals/red-wine/sangiovese/renieri-brunello-di-montalcino-riserva/p/243785750?s=304&igrules=true
Cloud Break Red Blend Black Cloud,750ml,9.99,https://www.totalwine.com/wine/deals/red-wine/red-blend/cloud-break-red-blend-black-cloud/p/150518750?s=304&igrules=true
Champagne Marie de Moy Grand Cru,750ml,48.99,https://www.totalwine.com/wine/deals/champagne-sparkling-wine/champagne/brut/champagne-marie-de-moy-grand-cru/p/238539750?s=304&igrules=true
District Series Cabernet Sauvignon Napa,750ml,25.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/district-series-cabernet-sauvignon-napa/p/239997750?s=304&igrules=true
Radius Merlot,750ml,13.99,https://www.totalwine.com/wine/red-wine/merlot/radius-merlot/p/109683750?s=304&igrules=true
John Legend Signature Series by LVE Cabernet Sauvignon,750ml,19.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/john-legend-signature-series-by-lve-cabernet-sauvignon/p/235789750?s=304&igrules=true
Kudos Pinot Noir Willamette,750ml,17.99,https://www.totalwine.com/wine/deals/red-wine/pinot-noir/kudos-pinot-noir-willamette/p/107654750?s=304&igrules=true
D'Autrefois Reserve Pinot Noir,750ml,16.99,https://www.totalwine.com/wine/red-wine/pinot-noir/dautrefois-reserve-pinot-noir/p/103169750?s=304&igrules=true
D'Autrefois Chardonnay,750ml,14.99,https://www.totalwine.com/wine/deals/white-wine/chardonnay/dautrefois-chardonnay/p/14821750?s=304&igrules=true
